REPO,SHA,CONFIG_PARAMETER,TEST_NAME,VALUE,TYPE(GOOD|BAD),EXPECTATION(PASS|FAIL)
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.flushCount,org.apache.druid.java.util.emitter.core.EmitterTest#testSanityWithGeneralizedCreation,2,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.flushCount,org.apache.druid.java.util.emitter.core.EmitterTest#testSanityWithGeneralizedCreation,3,GOOD?,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.minHttpTimeoutMillis,org.apache.druid.java.util.emitter.core.EmitterTest#testSanityWithGeneralizedCreation,0,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.minHttpTimeoutMillis,org.apache.druid.java.util.emitter.core.EmitterTest#testSanityWithGeneralizedCreation,1,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.minHttpTimeoutMillis,org.apache.druid.java.util.emitter.core.EmitterTest#testSanityWithGeneralizedCreation,2,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.minHttpTimeoutMillis,org.apache.druid.java.util.emitter.core.EmitterTest#testSanityWithGeneralizedCreation,3,GOOD?,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.batchQueueSizeLimit,org.apache.druid.java.util.emitter.core.EmitterTest#testSanity,1,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.batchingStrategy,org.apache.druid.java.util.emitter.core.EmitterTest#testSanity,ARRAY,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.batchingStrategy,org.apache.druid.java.util.emitter.core.EmitterTest#testSanity,NEWLINES,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.maxBatchSize,org.apache.druid.java.util.emitter.core.EmitterTest#testSanity,5242880,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.maxBatchSize,org.apache.druid.java.util.emitter.core.EmitterTest#testSanity,2,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.minHttpTimeoutMillis,org.apache.druid.java.util.emitter.core.EmitterTest#testSanity,0,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.minHttpTimeoutMillis,org.apache.druid.java.util.emitter.core.EmitterTest#testSanity,1,GOOD?,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.minHttpTimeoutMillis,org.apache.druid.java.util.emitter.core.EmitterTest#testSanity,10,GOOD?,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.parametrized.recipientBaseUrlPattern, org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterTest#testParametrizedEmitterCreated,http://example.com/,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.parametrized.recipientBaseUrlPattern,org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterTest#failEmitMalformedEvent,http://example.com/test,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.parametrized.recipientBaseUrlPattern,org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterTest#testEmitterWithFeedUriExtractor,http://example.com/test,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.parametrized.recipientBaseUrlPattern,org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterTest#testEmitterWithFeedUriExtractor,http://example.com/test1,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.parametrized.recipientBaseUrlPattern,org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterTest#testEmitterWithFeedUriExtractor,"http://example.com/test1, http://example.com/test2",GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.flushTimeOut,org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterTest#testEmitterWithFeedUriExtractor,1,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.flushMillis,org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterTest#testEmitterWithFeedUriExtractor,1,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.batchQueueSizeLimit,org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterTest#testEmitterWithFeedUriExtractor,1,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.maxBatchSize,org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterTest#testEmitterWithFeedUriExtractor,1,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.batchingStrategy,org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterTest#testEmitterWithFeedUriExtractor,ARRAY,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.minHttpTimeoutMillis,org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterTest#testEmitterWithFeedUriExtractor,2,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.minHttpTimeoutMillis,org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterTest#testEmitterWithFeedUriExtractor,3,GOOD?,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.javascript.enabled,org.apache.druid.js.JavaScriptConfigTest#testSerde,TRUE,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.javascript.enabled,org.apache.druid.js.JavaScriptConfigTest#testSerde,FALSE,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.javascript.enabled,org.apache.druid.js.JavaScriptConfigTest#testSerdeWithDefaults,FALSE,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.javascript.enabled,org.apache.druid.js.JavaScriptConfigTest#testSerdeWithDefaults,0,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.javascript.enabled,org.apache.druid.js.JavaScriptConfigTest#testSerdeWithDefaults,TRUE,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.javascript.enabled,org.apache.druid.data.input.impl.StringInputRowParserTest#testDisableJavaScript,FALSE,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.javascript.enabled,org.apache.druid.data.input.impl.StringInputRowParserTest#testDisableJavaScript2,FALSE,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.javascript.enabled,org.apache.druid.data.input.impl.JavaScriptParseSpecTest#testMakeParser,TRUE,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.javascript.enabled,org.apache.druid.data.input.impl.JavaScriptParseSpecTest#testMakeParserNotAllowed,FALSE,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f, druid.global.http.compressionCodec,org.apache.druid.java.util.http.client.FriendlyServersTest#testFriendlyHttpServer,GZIP,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f, druid.global.http.compressionCodec,org.apache.druid.java.util.http.client.FriendlyServersTest#testFriendlyHttpServer,IDENTITY,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f, druid.global.http.compressionCodec,org.apache.druid.java.util.http.client.FriendlyServersTest#testFriendlyHttpServer,DEFLATE,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f, druid.global.http.compressionCodec,org.apache.druid.java.util.http.client.FriendlyServersTest#testFriendlyHttpServer,ZIP,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.global.http.readTimeout,org.apache.druid.java.util.http.client.FriendlyServersTest#testFriendlyHttpServer,PT1S,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.global.http.readTimeout,org.apache.druid.java.util.http.client.FriendlyServersTest#testFriendlyHttpServer,PT15M,GOOD?,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.global.http.readTimeout,org.apache.druid.java.util.http.client.FriendlyServersTest#testFriendlyHttpServer,PT4,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.global.http.eagerInitialization,org.apache.druid.java.util.http.client.FriendlyServersTest#testFriendlyHttpServer,1,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.global.http.numConnections,org.apache.druid.java.util.http.client.FriendlyServersTest#testFriendlyHttpServer,1,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.global.http.numConnections,org.apache.druid.java.util.http.client.FriendlyServersTest#testFriendlyHttpServer,20,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.global.http.numConnections,org.apache.druid.java.util.http.client.FriendlyServersTest#testFriendlyHttpServer,-1,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.global.http.unusedConnectionTimeout,org.apache.druid.java.util.http.client.FriendlyServersTest#testFriendlyHttpServer,PT4M,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.expressions.useStrictBooleans,org.apache.druid.math.expr.OutputTypeTest#testBinaryMathOperators,2,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.expressions.useStrictBooleans,org.apache.druid.math.expr.ApplyFunctionTest#testFilter,1,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.expressions.useStrictBooleans,org.apache.druid.math.expr.ApplyFunctionTest#testFilter,2,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.expressions.useStrictBooleans,org.apache.druid.math.expr.ApplyFunctionTest#testFilter,2,BAD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.generic.ignoreNullsForStringCardinality,org.apache.druid.common.config.NullHandlingTest#test_ignoreNullsStrings,FALSE,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.generic.ignoreNullsForStringCardinality,org.apache.druid.common.config.NullHandlingTest#test_ignoreNullsStrings,TRUE,GOOD?,FAIL
